Date,Subs,Name,Views
2012-03-14,767,Fine Bros,0
2012-03-15,829,Fine Bros,0
2012-03-16,1006,Fine Bros,1049345
2012-03-17,1431,Fine Bros,196786
2012-03-18,1405,Fine Bros,985387
2012-03-19,2509,Fine Bros,0
2012-03-20,1550,Fine Bros,0
2012-03-21,840,Fine Bros,0
2012-03-22,1026,Fine Bros,0
2012-03-23,1332,Fine Bros,3507948
2012-03-24,1193,Fine Bros,1069952
2012-03-25,1272,Fine Bros,0
2012-03-26,1164,Fine Bros,570662
2012-03-27,1127,Fine Bros,790798
2012-03-28,886,Fine Bros,488735
2012-03-29,1047,Fine Bros,450818
2012-03-30,1398,Fine Bros,297315
2012-03-31,1261,Fine Bros,326947
2012-04-01,1288,Fine Bros,358725
2012-04-02,1803,Fine Bros,0
2012-04-03,1508,Fine Bros,0
2012-04-04,1035,Fine Bros,0
2012-04-05,1145,Fine Bros,0
2012-04-06,1196,Fine Bros,1973062
2012-04-07,1204,Fine Bros,1058504
2012-04-08,2142,Fine Bros,337504
2012-04-09,1847,Fine Bros,334695
2012-04-10,1333,Fine Bros,411386
2012-04-11,1103,Fine Bros,1142336
2012-04-12,982,Fine Bros,838377
2012-04-13,831,Fine Bros,585416
2012-04-14,621,Fine Bros,0
2012-04-15,1065,Fine Bros,792633
2012-04-16,1182,Fine Bros,0
2012-04-17,915,Fine Bros,625014
2012-04-18,1086,Fine Bros,452840
2012-04-19,986,Fine Bros,714061
2012-04-20,1442,Fine Bros,0
2012-04-21,1232,Fine Bros,338200
2012-04-22,993,Fine Bros,0
2012-04-23,1041,Fine Bros,0
2012-04-24,825,Fine Bros,0
2012-04-25,992,Fine Bros,0
2012-04-26,1074,Fine Bros,0
2012-04-27,950,Fine Bros,0
2012-04-28,1094,Fine Bros,0
2012-04-29,1773,Fine Bros,0
2012-04-30,1642,Fine Bros,3703889
2012-05-01,1561,Fine Bros,807539
2012-05-02,1480,Fine Bros,0
2012-05-03,867,Fine Bros,1833985
2012-05-04,977,Fine Bros,628947
2012-05-05,1657,Fine Bros,426081
