"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"144",143,20.8,0.515,21.1,5.6,5.9,26,0.451219512195122,82,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153
"145",144,23.8,0.545,29.3,1.9,2.5,31,0.51219512195122,73,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182
"146",145,15.1,0.602,23.1,-0.5,0.9,29,0.597560975609756,79,16.8,7.2,2,0.6,1,0.556,0,0.698,4.4,0.091
"147",146,18,0.536,26.3,1.6,2.6,23,0.536585365853659,82,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116
"148",147,17.7,0.588,19.7,2.3,3.3,33,0.719512195121951,80,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147
"149",148,20.5,0.549,29.2,1,2.3,33,0.451219512195122,82,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126
"150",149,22.1,0.56,31.3,2.8,3.2,27,0.670731707317073,80,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16
"151",150,18.1,0.569,24.3,0.6,1.8,27,0.670731707317073,80,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14
"152",151,18.4,0.521,27.8,0.4,1.6,28,0.51219512195122,81,21.2,7.3,2.6,1.1,1.5,0.472,0,0.787,4.6,0.082
"153",152,31.7,0.603,34.1,12.2,11.8,24,0.609756097560976,82,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
"154",153,27.8,0.608,30.2,8.8,8.1,31,0.695121951219512,76,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243
"155",154,23.1,0.581,23.4,5.3,4.9,28,0.75609756097561,72,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199
"156",155,27.6,0.665,26.7,9,8.7,24,0.439024390243902,80,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253
"157",156,24.1,0.564,28,7.4,7.3,25,0.646341463414634,81,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207
"158",157,23.7,0.534,35.2,2.9,3.7,28,0.609756097560976,78,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16
"159",158,23.4,0.555,26.5,5,5,25,0.560975609756098,79,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182
"160",159,20.7,0.568,29.7,2.5,3.7,24,0.573170731707317,82,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152
"161",160,20.5,0.516,21.4,6.1,6.2,27,0.658536585365854,82,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163
"162",161,23.2,0.645,17.2,3.9,4.3,25,0.573170731707317,82,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238
"163",162,19.8,0.535,28.4,1.4,2.5,34,0.658536585365854,80,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129
"164",163,18.2,0.521,25.4,2.5,3.3,26,0.658536585365854,81,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124
"165",164,15.7,0.493,17.3,2.8,3.9,22,0.463414634146341,82,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
