year,state,totals,pop_est
2015,Arkansas,257346,2978048
2015,California,1761079,38918045
2015,Colorado,454062,5450623
2015,Connecticut,307750,3587122
2015,Delaware,50416,941252
2015,District of Columbia,742,675400
2015,Florida,1147082,20209042
2015,Georgia,566946,10178447
2015,Guam,2066,[]
2015,Hawaii,15290,1422052
2015,Idaho,136946,1651059
2015,Illinois,1247398,12858913
2015,Indiana,1076917,6608422
2015,Iowa,147309,3120960
2015,Kansas,185859,2909011
2015,Kentucky,3218371,4425976
2015,Louisiana,372613,4664628
2015,Maine,94744,1328262
2015,Mariana Islands,18,[]
2015,Maryland,125694,5985562
2015,Massachusetts,167285,6794228
2015,Michigan,500921,9931715
2015,Minnesota,519244,5482032
2015,Mississippi,252372,2988471
2015,Missouri,584875,6071732
2015,Montana,127705,1030475
2015,Nebraska,79340,1891277
2015,Nevada,127480,2866939
2015,New Hampshire,136816,1336350
2015,New Jersey,90034,8867949
2015,New Mexico,147912,2089291
2015,New York,346048,19654666
2015,North Carolina,531876,10031646
2015,North Dakota,69429,754066
2015,Ohio,748502,11617527
2015,Oklahoma,359276,3909500
2015,Oregon,276126,4015792
2015,Pennsylvania,993429,12784826
2015,Puerto Rico,15892,3473232
2015,Rhode Island,22129,1056065
2015,South Carolina,326997,4891938
2015,South Dakota,100268,853988
2015,Tennessee,654192,6591170
2015,Texas,1574266,27470056
2015,Utah,254814,2981835
2015,Vermont,34588,625216
2015,Virgin Islands,1342,[]
2015,Virginia,462997,8361808
2015,Washington,502280,7163657
2015,West Virginia,249014,1842050
2015,Wisconsin,383280,5760940
2015,Wyoming,62339,585613
2016,Alabama,616947,4863525
2016,Alaska,87647,741456
2016,Arizona,416279,6941072
2016,Arkansas,266014,2989918
2016,California,2377167,39167117
2016,Colorado,540514,5539215
2016,Connecticut,317692,3578141
2016,Delaware,59430,948921
2016,District of Columbia,875,685815
2016,Florida,1435340,20613477
2016,Georgia,612985,10301890
2016,Guam,2123,[]
2016,Hawaii,16681,1427559
2016,Idaho,156343,1682380
2016,Illinois,1924070,12820527
2016,Indiana,1436725,6634304
2016,Iowa,202277,3131371
2016,Kansas,196548,2910844
2016,Kentucky,3676847,4438182
2016,Louisiana,391869,4678135
2016,Maine,111582,1331317
2016,Mariana Islands,17,[]
2016,Maryland,165367,6003323
2016,Massachusetts,226212,6823608
2016,Michigan,579605,9950571
2016,Minnesota,651599,5522744
2016,Mississippi,276161,2987938
2016,Missouri,632319,6087135
2016,Montana,136337,1040859
2016,Nebraska,88663,1905616
2016,Nevada,147992,2917563
2016,New Hampshire,165164,1342307
2016,New Jersey,121853,8870827
2016,New Mexico,161216,2091630
2016,New York,404772,19633428
